Stethoscope	ECG
-0.00427246	-0.00579834
0.000305176	-0.00335693
-0.00152588	-0.000305176
0.00244141	0.00366211
-0.0131226	0.00793457
-0.0149536	0.012207
-0.00457764	0.0164795
-0.00793457	0.0204468
-0.00610352	0.0234985
-0.00946045	0.0241089
-0.0140381	0.0228882
-0.0119019	0.0204468
-0.010376	0.0180054
-0.00915527	0.015564
-0.00518799	0.0128174
0.0164795	0.00915527
0.0512695	0.00427246
0.0628662	0.000305176
0.0558472	-0.00152588
0.06073	-0.000915527
0.0427246	0.000305176
0.00213623	0.000610352
-0.0460815	0.000305176
-0.0827026	0.0012207
-0.107117	0.00366211
-0.101013	0.00488281
-0.0521851	0.00518799
-0.0164795	0.00518799
0.032959	0.00610352
0.0701904	0.00854492
0.0790405	0.0100708
0.0888062	0.0109863
0.0720215	0.0112915
0.0344849	0.0115967
-0.00640869	0.0128174
-0.0579834	0.0143433
-0.0967407	0.0167847
-0.0808716	0.0204468
-0.0698853	0.0259399
-0.0500488	0.0326538
-0.00488281	0.0387573
0.0482178	0.0442505
0.0765991	0.0500488
0.0933838	0.0570679
0.0906372	0.0640869
0.0643921	0.071106
-0.00793457	0.0772095
-0.0695801	0.0823975
-0.0939941	0.0875854
-0.106506	0.0930786
-0.0827026	0.0997925
-0.0466919	0.106201
0.00549316	0.111389
0.0579834	0.114746
0.0891113	0.116272
0.0967407	0.115967
0.0991821	0.113525
0.0689697	0.109558
0.0253296	0.103455
-0.00640869	0.0964355
-0.0308228	0.0888062
-0.0631714	0.0793457
-0.088501	0.0695801
-0.0924683	0.06073
-0.0793457	0.0515747
-0.0476074	0.0439453
0	0.0378418
0.0411987	0.0332642
0.0656128	0.0283813
0.0738525	0.0238037
0.0701904	0.0195313
0.0262451	0.0164795
-0.0268555	0.0152588
-0.0515747	0.0149536
-0.0561523	0.0146484
-0.0448608	0.0134277
-0.0152588	0.0112915
0.00610352	0.00854492
0.015564	0.00518799
0.0302124	0.000610352
0.0396729	-0.00457764
0.0247192	-0.0100708
0.0115967	-0.0143433
0.0119019	-0.017395
-0.00427246	-0.0195313
-0.0308228	-0.0204468
-0.0421143	-0.0201416
-0.0393677	-0.0183105
-0.0341797	-0.015564
-0.0198364	-0.0137329
0.00610352	-0.0125122
0.0466919	-0.0125122
0.067749	-0.0134277
0.0619507	-0.0146484
0.0317383	-0.0180054
-0.0134277	-0.0228882
-0.0439453	-0.0271606
-0.0363159	-0.0311279
-0.0210571	-0.03479
0.00183105	-0.038147
0.0289917	-0.0427246
0.0341797	-0.0488281
0.0289917	-0.0564575
0.0109863	-0.0668335
-0.00488281	-0.0808716
-0.0195313	-0.09552
-0.0296021	-0.106812
-0.0302124	-0.109863
-0.0210571	-0.101929
0.00152588	-0.0793457
0.032959	-0.0396729
0.0405884	0.0195313
0.0244141	0.0994873
-0.000305176	0.198669
-0.022583	0.315857
-0.045166	0.449829
-0.06073	0.596008
-0.0656128	0.742798
-0.0704956	0.874634
-0.0585938	0.982666
-0.0292969	1.06262
-0.00213623	1.10901
0.0308228	1.11603
0.0631714	1.07971
0.0909424	1.00128
0.112	0.885925
0.105591	0.740662
0.0811768	0.574341
0.0354004	0.397949
-0.0161743	0.222778
-0.0546265	0.06073
-0.0662231	-0.0772095
-0.0866699	-0.185242
-0.209045	-0.262756
-0.375061	-0.311279
-0.377197	-0.334167
-0.213928	-0.335999
0.143433	-0.320435
0.597534	-0.291748
0.857544	-0.256348
0.81665	-0.220337
0.550232	-0.187378
0.179443	-0.158081
-0.228271	-0.133362
-0.567017	-0.11261
-0.759583	-0.0958252
-0.822144	-0.0817871
-0.739746	-0.0704956
-0.559998	-0.0616455
-0.324097	-0.0549316
