L I	L III	L II(Calc.)
-0.0473022	-0.0109863	-0.0582886
-0.0424194	-0.0119019	-0.0543213
-0.0369263	-0.0134277	-0.050354
-0.0332642	-0.0131226	-0.0463867
-0.032959	-0.0088501	-0.0418091
-0.0357056	-0.0012207	-0.0369263
-0.0387573	0.00640869	-0.0323486
-0.0411987	0.0134277	-0.027771
-0.0439453	0.020752	-0.0231934
-0.0485229	0.0296021	-0.0189209
-0.0558472	0.0405884	-0.0152588
-0.0622559	0.050354	-0.0119019
-0.0646973	0.0558472	-0.0088501
-0.0622559	0.0570679	-0.00518799
-0.0567627	0.055542	-0.0012207
-0.0497437	0.0521851	0.00244141
-0.0408936	0.0460815	0.00518799
-0.0299072	0.0375366	0.00762939
-0.0186157	0.0283813	0.00976563
-0.0088501	0.0210571	0.012207
0.00152588	0.0146484	0.0161743
0.0131226	0.00793457	0.0210571
0.0241089	0.00244141	0.0265503
0.0338745	0	0.0338745
0.0405884	0.000915527	0.0415039
0.0448608	0.00396729	0.0488281
0.0473022	0.00732422	0.0546265
0.0473022	0.0109863	0.0582886
0.045166	0.0146484	0.0598145
0.0415039	0.0183105	0.0598145
0.0366211	0.0213623	0.0579834
0.0302124	0.0234985	0.0537109
0.022583	0.0234985	0.0460815
0.0140381	0.0216675	0.0357056
0.00701904	0.0177002	0.0247192
0.00335693	0.0112915	0.0146484
0.00183105	0.00396729	0.00579834
0.000305176	-0.00213623	-0.00183105
-0.00213623	-0.00701904	-0.00915527
-0.00335693	-0.0119019	-0.0152588
-0.00488281	-0.0158691	-0.020752
-0.00762939	-0.017395	-0.0250244
-0.0115967	-0.0164795	-0.0280762
-0.017395	-0.0137329	-0.0311279
-0.0250244	-0.0100708	-0.0350952
-0.0323486	-0.00701904	-0.0393677
-0.0378418	-0.00396729	-0.0418091
-0.0445557	-0.000305176	-0.0448608
-0.0524902	0.00366211	-0.0488281
-0.0601196	0.00579834	-0.0543213
-0.0656128	0.00549316	-0.0601196
-0.0665283	0.00213623	-0.0643921
-0.0643921	-0.00396729	-0.0683594
-0.0628662	-0.0100708	-0.072937
-0.0631714	-0.0146484	-0.0778198
-0.0634766	-0.0180054	-0.0814819
-0.0619507	-0.0222778	-0.0842285
-0.0582886	-0.0274658	-0.0857544
-0.0540161	-0.0323486	-0.0863647
-0.0494385	-0.0366211	-0.0860596
-0.0457764	-0.0387573	-0.0845337
-0.0445557	-0.0372314	-0.0817871
-0.0454712	-0.0338745	-0.0793457
-0.0463867	-0.0308228	-0.0772095
-0.0476074	-0.0286865	-0.0762939
-0.0491333	-0.0271606	-0.0762939
-0.0506592	-0.0268555	-0.0775146
-0.0506592	-0.027771	-0.0784302
-0.0494385	-0.0302124	-0.0796509
-0.0485229	-0.032959	-0.0814819
-0.0494385	-0.0350952	-0.0845337
-0.0512695	-0.0372314	-0.088501
-0.0534058	-0.039978	-0.0933838
-0.0564575	-0.0427246	-0.0991821
-0.0622559	-0.0454712	-0.107727
-0.0701904	-0.0485229	-0.118713
-0.078125	-0.0531006	-0.131226
-0.0857544	-0.0585938	-0.144348
-0.0939941	-0.0628662	-0.15686
-0.102234	-0.0631714	-0.165405
-0.107117	-0.0592041	-0.166321
-0.10498	-0.0500488	-0.155029
-0.0921631	-0.0372314	-0.129395
-0.0662231	-0.020752	-0.0869751
-0.0271606	0.00152588	-0.0256348
0.0241089	0.0308228	0.0549316
0.0866699	0.0656128	0.152283
0.158997	0.106506	0.265503
0.240479	0.152893	0.393372
0.329895	0.202332	0.532227
0.422363	0.248718	0.671082
0.509949	0.28656	0.796509
0.586548	0.310669	0.897217
0.647583	0.32074	0.968323
0.689392	0.315552	1.00494
0.708618	0.293884	1.0025
0.701294	0.257263	0.958557
0.666199	0.20752	0.873718
0.603333	0.148621	0.751953
0.514832	0.0848389	0.59967
0.40802	0.0198364	0.427856
0.293274	-0.0436401	0.249634
0.178528	-0.100708	0.0778198
0.0701904	-0.145264	-0.0750732
-0.0262451	-0.175171	-0.201416
-0.105896	-0.191956	-0.297852
-0.166321	-0.197754	-0.364075
-0.205688	-0.195007	-0.400696
-0.222168	-0.188293	-0.410461
-0.217896	-0.180054	-0.397949
-0.200195	-0.169983	-0.370178
-0.176086	-0.15625	-0.332336
-0.151367	-0.138855	-0.290222
-0.128784	-0.12085	-0.249634
-0.110779	-0.103455	-0.214233
-0.0985718	-0.0863647	-0.184937
-0.0912476	-0.071106	-0.162354
-0.0894165	-0.0576782	-0.147095
-0.0906372	-0.0473022	-0.137939
-0.0930786	-0.0390625	-0.132141
-0.0961304	-0.0335693	-0.1297
-0.0997925	-0.0308228	-0.130615
-0.103149	-0.0308228	-0.133972
-0.10376	-0.0341797	-0.137939
-0.101624	-0.0393677	-0.140991
-0.100403	-0.0430298	-0.143433
-0.101013	-0.0445557	-0.145569
-0.102844	-0.0439453	-0.14679
-0.10376	-0.0421143	-0.145874
-0.101624	-0.0402832	-0.141907
-0.0985718	-0.0387573	-0.137329
-0.09552	-0.0375366	-0.133057
-0.0921631	-0.0378418	-0.130005
-0.0891113	-0.038147	-0.127258
-0.0863647	-0.038147	-0.124512
-0.0830078	-0.0393677	-0.122375
-0.0793457	-0.0415039	-0.12085
-0.0759888	-0.043335	-0.119324
-0.0726318	-0.0448608	-0.117493
-0.0698853	-0.0448608	-0.114746
-0.0695801	-0.0430298	-0.11261
-0.0714111	-0.039978	-0.111389
-0.0723267	-0.0369263	-0.109253
-0.071106	-0.0354004	-0.106506
-0.0680542	-0.0354004	-0.103455
-0.0650024	-0.0350952	-0.100098
-0.0628662	-0.0354004	-0.0982666
-0.0595093	-0.0372314	-0.0967407
-0.0537109	-0.0424194	-0.0961304
-0.0466919	-0.0491333	-0.0958252
-0.0402832	-0.0552368	-0.09552
-0.0369263	-0.0576782	-0.0946045
-0.0369263	-0.0567627	-0.093689
-0.0372314	-0.0558472	-0.0930786
-0.0363159	-0.0546265	-0.0909424
-0.0366211	-0.0515747	-0.0881958
-0.038147	-0.0463867	-0.0845337
-0.0396729	-0.0411987	-0.0808716
-0.0396729	-0.0369263	-0.0765991
-0.0384521	-0.0338745	-0.0723267
-0.0375366	-0.0317383	-0.0692749
-0.0357056	-0.0308228	-0.0665283
-0.0317383	-0.032959	-0.0646973
-0.0265503	-0.0363159	-0.0628662
-0.0228882	-0.0390625	-0.0619507
-0.0210571	-0.0408936	-0.0619507
-0.0210571	-0.0421143	-0.0631714
-0.0219727	-0.0424194	-0.0643921
-0.0250244	-0.0405884	-0.0656128
-0.0280762	-0.0387573	-0.0668335
-0.0289917	-0.038147	-0.0671387
-0.0286865	-0.0372314	-0.065918
-0.0274658	-0.0363159	-0.0637817
-0.0241089	-0.0363159	-0.0604248
-0.0177002	-0.0387573	-0.0564575
-0.00793457	-0.0436401	-0.0515747
0.00213623	-0.0482178	-0.0460815
0.00976563	-0.0509644	-0.0411987
0.015564	-0.0512695	-0.0357056
0.0189209	-0.0482178	-0.0292969
0.0213623	-0.0445557	-0.0231934
0.0228882	-0.0402832	-0.017395
0.0238037	-0.0360107	-0.012207
0.0250244	-0.032959	-0.00793457
0.0280762	-0.0317383	-0.00366211
0.0326538	-0.032959	-0.000305176
