L I	L III	L II(Calc.)
0.0915527	0.00152588	0.0930786
0.0848389	0.00579834	0.0906372
0.0772095	0.00915527	0.0863647
0.0686646	0.0112915	0.0799561
0.0595093	0.0125122	0.0720215
0.0509644	0.0131226	0.0640869
0.0421143	0.0131226	0.0552368
0.0317383	0.012207	0.0439453
0.0201416	0.0109863	0.0311279
0.00915527	0.0088501	0.0180054
0	0.00640869	0.00640869
-0.00854492	0.00396729	-0.00457764
-0.0167847	0.00152588	-0.0152588
-0.0244141	-0.000610352	-0.0250244
-0.0311279	-0.00274658	-0.0338745
-0.0363159	-0.00488281	-0.0411987
-0.0408936	-0.00701904	-0.0479126
-0.0448608	-0.00915527	-0.0540161
-0.0476074	-0.0119019	-0.0595093
-0.0491333	-0.0146484	-0.0637817
-0.0512695	-0.017395	-0.0686646
-0.0537109	-0.0192261	-0.072937
-0.0567627	-0.0204468	-0.0772095
-0.0595093	-0.0216675	-0.0811768
-0.0622559	-0.0222778	-0.0845337
-0.0640869	-0.022583	-0.0866699
-0.0656128	-0.0219727	-0.0875854
-0.0680542	-0.0204468	-0.088501
-0.0714111	-0.0180054	-0.0894165
-0.0741577	-0.015564	-0.0897217
-0.0750732	-0.0140381	-0.0891113
-0.0756836	-0.0128174	-0.088501
-0.0759888	-0.0119019	-0.0878906
-0.0765991	-0.0115967	-0.0881958
-0.078125	-0.0109863	-0.0891113
-0.0811768	-0.0109863	-0.0921631
-0.0860596	-0.0109863	-0.0970459
-0.0912476	-0.0109863	-0.102234
-0.0933838	-0.0109863	-0.10437
-0.0915527	-0.0109863	-0.102539
-0.0891113	-0.0100708	-0.0991821
-0.0866699	-0.00854492	-0.0952148
-0.0842285	-0.00732422	-0.0915527
-0.0808716	-0.00640869	-0.0872803
-0.0762939	-0.00610352	-0.0823975
-0.0714111	-0.00579834	-0.0772095
-0.0674438	-0.00579834	-0.0732422
-0.0653076	-0.00610352	-0.0714111
-0.0650024	-0.00701904	-0.0720215
-0.0650024	-0.0088501	-0.0738525
-0.0656128	-0.0109863	-0.0765991
-0.0665283	-0.0128174	-0.0793457
-0.0674438	-0.0146484	-0.0820923
-0.0671387	-0.0167847	-0.0839233
-0.0653076	-0.0180054	-0.083313
-0.062561	-0.0177002	-0.0802612
-0.0595093	-0.0164795	-0.0759888
-0.0543213	-0.0149536	-0.0692749
-0.0485229	-0.0134277	-0.0619507
-0.0445557	-0.0125122	-0.0570679
-0.0430298	-0.0112915	-0.0543213
-0.0439453	-0.00946045	-0.0534058
-0.0463867	-0.00793457	-0.0543213
-0.0479126	-0.00762939	-0.055542
-0.0476074	-0.00854492	-0.0561523
-0.0463867	-0.010376	-0.0567627
-0.0445557	-0.012207	-0.0567627
-0.0439453	-0.0137329	-0.0576782
-0.0439453	-0.0146484	-0.0585938
-0.0430298	-0.015564	-0.0585938
-0.0415039	-0.0164795	-0.0579834
-0.0405884	-0.0170898	-0.0576782
-0.0402832	-0.0170898	-0.057373
-0.0402832	-0.017395	-0.0576782
-0.0405884	-0.0170898	-0.0576782
-0.0415039	-0.0164795	-0.0579834
